file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_epsilon_0.0003_run_1.csv,456,110.5,50388.23
gpu_monitor_epsilon_0.0003_run_2.csv,459,109.45,50236.5
gpu_monitor_epsilon_0.0003_run_3.csv,456,109.69,50019.37
gpu_monitor_epsilon_0.0003_run_4.csv,460,109.82,50514.9
gpu_monitor_epsilon_0.0003_run_5.csv,459,110.12,50547.11
gpu_monitor_epsilon_0.0006_run_1.csv,450,110.05,49523.4
gpu_monitor_epsilon_0.0006_run_2.csv,449,109.74,49275.14
gpu_monitor_epsilon_0.0006_run_3.csv,453,108.75,49261.82
gpu_monitor_epsilon_0.0006_run_4.csv,453,110.35,49988.25
gpu_monitor_epsilon_0.0006_run_5.csv,449,110.98,49828.4
gpu_monitor_epsilon_0.0009_run_1.csv,461,109.49,50473.5
gpu_monitor_epsilon_0.0009_run_2.csv,456,110.29,50293.29
gpu_monitor_epsilon_0.0009_run_3.csv,460,109.9,50553.05
gpu_monitor_epsilon_0.0009_run_4.csv,455,110.64,50340.7
gpu_monitor_epsilon_0.0009_run_5.csv,459,109.57,50291.69
gpu_monitor_epsilon_0.002_run_1.csv,451,109.34,49312.27
gpu_monitor_epsilon_0.002_run_2.csv,450,110.0,49502.15
gpu_monitor_epsilon_0.002_run_3.csv,456,108.83,49627.71
gpu_monitor_epsilon_0.002_run_4.csv,452,110.97,50158.8
gpu_monitor_epsilon_0.002_run_5.csv,452,110.11,49771.25
gpu_monitor_epsilon_0.004_run_1.csv,442,110.67,48915.09
gpu_monitor_epsilon_0.004_run_2.csv,444,109.98,48831.12
gpu_monitor_epsilon_0.004_run_3.csv,442,110.33,48767.39
gpu_monitor_epsilon_0.004_run_4.csv,438,109.73,48060.89
gpu_monitor_epsilon_0.004_run_5.csv,443,109.83,48652.86
